"variable","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"alpha",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.70","0.21","1.88"
"alpha",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.72","0.19","1.99"
"alpha",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"1.20","0.25","3.54"
"presymp",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.16","0.07","0.25"
"presymp",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.15","0.07","0.25"
"presymp",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"0.23","0.06","0.45"
"p_E",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.56","0.16","0.87"
"p_E",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.59","0.18","0.88"
"p_E",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"0.52","0.13","0.88"
"period_E",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.88","0.24","1.35"
"period_E",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.91","0.28","1.36"
"period_E",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"0.80","0.20","1.37"
"period_P",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.67","0.20","1.31"
"period_P",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.64","0.19","1.27"
"period_P",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"0.75","0.18","1.35"
"mu_inv",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.02","1.68","2.43"
"mu_inv",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"2.02","1.65","2.47"
"mu_inv",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"2.42","1.49","3.78"
